#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|DFHS|-43.489675|172.102160|210.000000|Darfield High School|2001-11-09T00:00:00|
NZ|DGNS|-45.862565|170.513906|25.000000|Dunedin GNS|2002-06-09T00:00:00|
NZ|DHSS|-43.630260|172.727250|97.000000|Diamond Harbour School|2012-06-27T00:00:00|
NZ|DKHS|-45.902226|170.492935|13.000000|Dunedin Kings High School|2002-06-06T00:00:00|
NZ|DORC|-43.896765|172.093828|29.000000|Dorie|2005-11-18T00:00:00|
NZ|DREZ|-39.188831|174.200955|272.000000|Durham Road|2008-03-04T00:00:00|
NZ|DSLC|-43.667499|172.197920|68.000000|Dunsandel School|2005-04-12T00:00:00|
NZ|DSZ|-41.744961|171.804614|650.000000|Denniston North|1990-02-18T00:00:00|
NZ|DUNS|-45.905156|170.470645|121.000000|Dunedin Corstorphine Substation|1999-08-09T00:00:00|
NZ|DUWZ|-40.801715|173.921645|484.000000|D'Urville Island|2003-12-10T00:00:00|
NZ|DVHS|-40.201696|176.101365|224.000000|Dannevirke High School|2002-01-28T00:00:00|
NZ|DVHZ|-40.298859|176.166616|469.000000|Dannevirke|2008-01-14T00:00:00|
NZ|E13Z|-39.142955|176.165373|1162.000000|Kaimanawa Mts|2016-06-30T00:00:00|
NZ|EAZ|-45.231053|169.308253|350.000000|Earnscleugh|2004-11-01T00:00:00|
NZ|EBFS|-41.291967|174.896850|8.000000|Eastbourne Fire Station|2021-02-25T23:48:00|
NZ|ECLS|-37.688830|178.548160|197.000000|East Cape Lighthouse|2016-09-04T00:00:00|
NZ|EDFS|-37.979480|176.834280|5.000000|Edgecumbe Fire Station|2024-05-02T21:08:00|
NZ|EKTS|-40.649495|175.708828|243.000000|Eketahuna School|2002-07-23T00:00:00|
NZ|EPAZ|-36.875472|174.743594|40.000000|Eden Park BICEP|2011-08-23T00:00:00|
NZ|ERWZ|-43.522680|170.861300|594.000000|Erewhon|2025-06-18T05:00:00|
NZ|ETAZ|-36.953500|174.927800|195.000000|East Tamaki Reservoir|2010-02-11T00:00:00|
NZ|ETVZ|-39.135700|175.710600|1236.000000|East Tongariro|2014-03-11T00:01:00|
NZ|EY2M|-43.473840|172.392660|88.000000|West Melton 2 Geomagnetic Observatory|2024-04-04T16:00:00|
NZ|EYWM|-43.473950|172.392770|87.000000|West Melton Geomagnetic Observatory|2013-12-15T00:00:00|
NZ|FAHS|-40.213536|175.573048|85.000000|Feilding Agricultural High School|2002-07-24T00:00:00|
NZ|FDCS|-44.098657|170.828700|318.000000|Fairlie District Council Garage|2002-07-05T00:00:00|
NZ|FEGZ|-39.047207|174.340064|192.000000|Ferguson Road|2023-04-30T23:20:00|
NZ|FGPS|-43.463208|170.019803|181.000000|Fox Glacier Park Board Headquarters|2003-01-10T00:00:00|
NZ|FJDS|-43.389137|170.184235|163.000000|Franz Josef DOC|2002-04-18T00:00:00|
NZ|FKPS|-41.287948|174.778764|5.000000|Wellington Frank Kitts Park|2002-03-05T00:00:00|
NZ|FMBC|-43.558586|172.707825|20.000000|Ferrymead Bridge|2010-01-01T00:00:00|
NZ|FOXAG|-43.518149|170.048983|1262.000000|Fox Glacier Landslide Alpine Gardens|2019-02-06T00:00:00|
NZ|FOXRB|-43.498265|170.093465|1024.000000|Fox Glacier Landslide Rapanui Bluff|2021-08-04T00:00:00|
NZ|FOXVF|-43.502881|170.097863|791.000000|Fox Glacier Landslide Victoria Falls|2021-09-01T00:00:00|
NZ|FOXVV|-43.500266|170.059362|346.000000|Fox Glacier Landslide Valley View|2021-08-03T00:00:00|
NZ|FOZ|-43.532099|169.815480|54.000000|Fox Glacier|2004-10-13T00:00:00|
NZ|FRNZ|-43.453086|170.099275|1341.000000|Franz Josef|2026-02-09T20:31:00|
NZ|FTPS|-41.118705|175.327442|44.000000|Featherston Primary School|2001-12-11T00:00:00|
NZ|FWVZ|-39.254945|175.552952|2043.000000|Far West|1999-05-11T00:00:00|
